code MARC Swissbib	Geonames ID
aa	http://sws.geonames.org/783754/
abc	http://sws.geonames.org/6251999/
ae	http://sws.geonames.org/2589581/
af	http://sws.geonames.org/1149361/
ag	http://sws.geonames.org/3865483/
ai	http://sws.geonames.org/174982/
aj	http://sws.geonames.org/587116/
aku	http://sws.geonames.org/6252001/
alu	http://sws.geonames.org/6252001/
am	http://sws.geonames.org/2635167/
an	http://sws.geonames.org/3041565/
ao	http://sws.geonames.org/3351879/
aq	http://sws.geonames.org/3576396/
aru	http://sws.geonames.org/6252001/
as	http://sws.geonames.org/6252001/
at	http://sws.geonames.org/2077456/
au	http://sws.geonames.org/2782113/
aw	http://sws.geonames.org/3577279/
azu	http://sws.geonames.org/6252001/
ba	http://sws.geonames.org/290291/
bb	http://sws.geonames.org/3374084/
bcc	http://sws.geonames.org/6251999/
bd	http://sws.geonames.org/433561/
be	http://sws.geonames.org/2802361/
bf	http://sws.geonames.org/3572887/
bg	http://sws.geonames.org/1210997/
bh	http://sws.geonames.org/3582678/
bl	http://sws.geonames.org/3469034/
bm	http://sws.geonames.org/2635167/
bn	http://sws.geonames.org/3277605/
bo	http://sws.geonames.org/3923057/
bp	http://sws.geonames.org/2103350/
br	http://sws.geonames.org/1327865/
bs	http://sws.geonames.org/933860/
bt	http://sws.geonames.org/1252634/
bu	http://sws.geonames.org/732800/
bw	http://sws.geonames.org/630336/
bx	http://sws.geonames.org/1820814/
ca	http://sws.geonames.org/7626844/
cau	http://sws.geonames.org/6252001/
cb	http://sws.geonames.org/1831722/
cc	http://sws.geonames.org/1814991/
cd	http://sws.geonames.org/2434508/
ce	http://sws.geonames.org/1227603/
cf	http://sws.geonames.org/2260494/
cg	http://sws.geonames.org/203312/
ch	http://sws.geonames.org/1668284/
ci	http://sws.geonames.org/3202326/
cj	http://sws.geonames.org/2635167/
ck	http://sws.geonames.org/3686110/
cl	http://sws.geonames.org/3895114/
cm	http://sws.geonames.org/2233387/
co	http://sws.geonames.org/7626836/
cou	http://sws.geonames.org/6252001/
cq	http://sws.geonames.org/921929/
cr	http://sws.geonames.org/3624060/
cs	http://sws.geonames.org/8505031/
ctu	http://sws.geonames.org/6252001/
cu	http://sws.geonames.org/3562981/
cv	http://sws.geonames.org/3374766/
cx	http://sws.geonames.org/239880/
cy	http://sws.geonames.org/146669/
cz	http://sws.geonames.org/6252001/
dcu	http://sws.geonames.org/6252001/
deu	http://sws.geonames.org/6252001/
dk	http://sws.geonames.org/2623032/
dm	http://sws.geonames.org/2395170/
dq	http://sws.geonames.org/3575830/
dr	http://sws.geonames.org/3508796/
ea	http://sws.geonames.org/338010/
ec	http://sws.geonames.org/3658394/
eg	http://sws.geonames.org/2309096/
enk	http://sws.geonames.org/2635167/
er	http://sws.geonames.org/453733/
es	http://sws.geonames.org/3585968/
et	http://sws.geonames.org/337996/
fa	http://sws.geonames.org/2623032/
fg	http://sws.geonames.org/3017382/
fi	http://sws.geonames.org/660013/
fj	http://sws.geonames.org/2205218/
flu	http://sws.geonames.org/6252001/
fp	http://sws.geonames.org/3017382/
fr	http://sws.geonames.org/3017382/
fs	http://sws.geonames.org/1546748/
ft	http://sws.geonames.org/223816/
gau	http://sws.geonames.org/6252001/
gb	http://sws.geonames.org/4030945/
gd	http://sws.geonames.org/3580239/
ger	http://sws.geonames.org/2921044/
gh	http://sws.geonames.org/2300660/
gi	http://sws.geonames.org/2635167/
gl	http://sws.geonames.org/2623032/
gm	http://sws.geonames.org/2413451/
go	http://sws.geonames.org/2400553/
gp	http://sws.geonames.org/3017382/
gr	http://sws.geonames.org/390903/
gs	http://sws.geonames.org/614540/
gt	http://sws.geonames.org/3595528/
gu	http://sws.geonames.org/6252001/
gv	http://sws.geonames.org/2420477/
gw	http://sws.geonames.org/2921044/
gy	http://sws.geonames.org/3378535/
gz	http://sws.geonames.org/6254930/
hiu	http://sws.geonames.org/6252001/
hk	http://sws.geonames.org/1814991/
ho	http://sws.geonames.org/3608932/
ht	http://sws.geonames.org/3723988/
hu	http://sws.geonames.org/719819/
iau	http://sws.geonames.org/6252001/
ic	http://sws.geonames.org/2629691/
idu	http://sws.geonames.org/6252001/
ie	http://sws.geonames.org/2963597/
ii	http://sws.geonames.org/1269750/
ilu	http://sws.geonames.org/6252001/
inu	http://sws.geonames.org/6252001/
io	http://sws.geonames.org/1643084/
iq	http://sws.geonames.org/99237/
ir	http://sws.geonames.org/130758/
is	http://sws.geonames.org/294640/
it	http://sws.geonames.org/3175395/
iv	http://sws.geonames.org/2287781/
ja	http://sws.geonames.org/1861060/
jm	http://sws.geonames.org/3489940/
jo	http://sws.geonames.org/248816/
jp	http://sws.geonames.org/1861060/
ke	http://sws.geonames.org/192950/
kg	http://sws.geonames.org/1527747/
kn	http://sws.geonames.org/1873107/
ko	http://sws.geonames.org/1835841/
ksu	http://sws.geonames.org/6252001/
ku	http://sws.geonames.org/285570/
kv	http://sws.geonames.org/831053/
kyu	http://sws.geonames.org/6252001/
kz	http://sws.geonames.org/1522867/
lau	http://sws.geonames.org/6252001/
lb	http://sws.geonames.org/2275384/
le	http://sws.geonames.org/272103/
lh	http://sws.geonames.org/3042058/
li	http://sws.geonames.org/597427/
lo	http://sws.geonames.org/932692/
ls	http://sws.geonames.org/1655842/
lu	http://sws.geonames.org/2960313/
lv	http://sws.geonames.org/458258/
ly	http://sws.geonames.org/2215636/
mau	http://sws.geonames.org/6252001/
mbc	http://sws.geonames.org/6251999/
mc	http://sws.geonames.org/2993457/
mdu	http://sws.geonames.org/6252001/
meu	http://sws.geonames.org/6252001/
mf	http://sws.geonames.org/934292/
mg	http://sws.geonames.org/1062947/
miu	http://sws.geonames.org/6252001/
mk	http://sws.geonames.org/286963/
ml	http://sws.geonames.org/2453866/
mm	http://sws.geonames.org/2562770/
mnu	http://sws.geonames.org/6252001/
mo	http://sws.geonames.org/3194884/
mou	http://sws.geonames.org/6252001/
mp	http://sws.geonames.org/2029969/
mq	http://sws.geonames.org/3017382/
mr	http://sws.geonames.org/2542007/
msu	http://sws.geonames.org/6252001/
mtu	http://sws.geonames.org/6252001/
mu	http://sws.geonames.org/2378080/
mv	http://sws.geonames.org/617790/
mw	http://sws.geonames.org/927384/
mx	http://sws.geonames.org/3996063/
my	http://sws.geonames.org/1733045/
mz	http://sws.geonames.org/1036973/
na	http://sws.geonames.org/8505032/
nbu	http://sws.geonames.org/6252001/
ncu	http://sws.geonames.org/6252001/
ndu	http://sws.geonames.org/6252001/
ne	http://sws.geonames.org/2750405/
nfc	http://sws.geonames.org/6251999/
ng	http://sws.geonames.org/2440476/
nhu	http://sws.geonames.org/6252001/
nik	http://sws.geonames.org/2635167/
nju	http://sws.geonames.org/6252001/
nkc	http://sws.geonames.org/6251999/
nl	http://sws.geonames.org/3017382/
nmu	http://sws.geonames.org/6252001/
nn	http://sws.geonames.org/2134431/
no	http://sws.geonames.org/3144096/
np	http://sws.geonames.org/1282988/
nq	http://sws.geonames.org/3617476/
nr	http://sws.geonames.org/2328926/
nsc	http://sws.geonames.org/6251999/
nu	http://sws.geonames.org/2110425/
nvu	http://sws.geonames.org/6252001/
nw	http://sws.geonames.org/6252001/
nyu	http://sws.geonames.org/6252001/
nz	http://sws.geonames.org/2186224/
ohu	http://sws.geonames.org/6252001/
oku	http://sws.geonames.org/6252001/
onc	http://sws.geonames.org/6251999/
oru	http://sws.geonames.org/6252001/
pau	http://sws.geonames.org/6252001/
pe	http://sws.geonames.org/3932488/
pf	http://sws.geonames.org/1814991/
pg	http://sws.geonames.org/2372248/
ph	http://sws.geonames.org/1694008/
pic	http://sws.geonames.org/6251999/
pk	http://sws.geonames.org/1168579/
pl	http://sws.geonames.org/798544/
pn	http://sws.geonames.org/3703430/
po	http://sws.geonames.org/2264397/
pp	http://sws.geonames.org/2088628/
pr	http://sws.geonames.org/6252001/
py	http://sws.geonames.org/3437598/
qa	http://sws.geonames.org/289688/
qea	http://sws.geonames.org/2077456/
quc	http://sws.geonames.org/6251999/
rb	http://sws.geonames.org/6290252/
re	http://sws.geonames.org/3017382/
rh	http://sws.geonames.org/878675/
riu	http://sws.geonames.org/6252001/
rm	http://sws.geonames.org/798549/
ru	http://sws.geonames.org/2017370/
rw	http://sws.geonames.org/49518/
sa	http://sws.geonames.org/953987/
sc	http://sws.geonames.org/3578476/
scu	http://sws.geonames.org/6252001/
sdu	http://sws.geonames.org/6252001/
se	http://sws.geonames.org/241170/
sf	http://sws.geonames.org/2410758/
sg	http://sws.geonames.org/2245662/
si	http://sws.geonames.org/1880251/
sj	http://sws.geonames.org/366755/
