Codes in den Swissbib-Records (035 $a)	URI Swissbib
ABN	http://data.swissbib.ch/agent/ABN
ALEX	http://data.swissbib.ch/agent/ALEX
BORIS	http://data.swissbib.ch/agent/BORIS
BGR	http://data.swissbib.ch/agent/BGR
CCSA	http://data.swissbib.ch/agent/CCSA
CH-CCSA	http://data.swissbib.ch/agent/CCSA
DDB	http://d-nb.info/gnd/1070828033
DE-599	http://d-nb.info/gnd/10140798-1
ECOD	http://data.swissbib.ch/agent/ECOD
IDSBB	http://data.swissbib.ch/agent/IDSBB
IDSLU	http://data.swissbib.ch/agent/IDSLU
IDSSG	http://data.swissbib.ch/agent/IDSSG
IDSSG2	http://data.swissbib.ch/agent/IDSSG2
LIBIB	http://data.swissbib.ch/agent/LIBIB
NEBIS	http://data.swissbib.ch/agent/NEBIS
OCoLC	http://d-nb.info/gnd/1046905-9
RERO	http://data.swissbib.ch/agent/RERO
RETROS	http://data.swissbib.ch/agent/RETROS
SBT	http://data.swissbib.ch/agent/SBT
SERVAL	http://data.swissbib.ch/agent/SERVAL
SGBN	http://data.swissbib.ch/agent/SGBN
SLB	http://data.swissbib.ch/agent/SNL
SNL	http://data.swissbib.ch/agent/SNL
Sz	http://data.swissbib.ch/agent/SNL
ZORA	http://data.swissbib.ch/agent/ZORA
